Year,SpeciesName,CatchLbs,TotalPrice,PricePound,PricePoundAdj
1987,"Sardine, Pacific",707585.0,42804.0,0.060493085636354645,0.14034395867634278
1988,"Sardine, Pacific",461755.0,25979.0,0.056261437342313564,0.12546300527335924
1989,"Sardine, Pacific",899724.0,79186.0,0.08801143461772722,0.18746435573575895
1990,"Sardine, Pacific",3134151.0,83933.0,0.02678013918282814,0.054095881149312845
1991,"Sardine, Pacific",14182046.0,743875.0,0.05245188176656598,0.10070761299180668
1992,"Sardine, Pacific",20735063.0,792355.0,0.03821329117736464,0.07145885450167189
1993,"Sardine, Pacific",30849762.0,1324463.0,0.04293268129588812,0.0777081531455575
1994,"Sardine, Pacific",22326632.0,930658.0,0.04168376134833055,0.07336341997306177
1995,"Sardine, Pacific",87510828.0,3213723.0,0.03672371834945957,0.06316479556107045
1996,"Sardine, Pacific",70086201.0,2179471.0,0.031097005814311435,0.0519319997099001
1997,"Sardine, Pacific",94759414.0,3150974.0,0.03325235844113599,0.05386882067464031
1998,"Sardine, Pacific",85479461.0,2858333.0,0.0334388280712252,0.05350212491396032
1999,"Sardine, Pacific",128080138.0,4752098.0,0.037102536538491236,0.05825098236543125
2000,"Sardine, Pacific",118056834.0,5454359.0,0.046201128856293065,0.07068772715012839
2001,"Sardine, Pacific",114267247.0,6266257.0,0.05483861005245011,0.08061275677710165
2002,"Sardine, Pacific",128035475.0,5798733.0,0.045290049496047875,0.06612347226422989
2003,"Sardine, Pacific",75762548.0,2834216.0,0.03740919589979999,0.05312105817771599
2004,"Sardine, Pacific",96768856.0,3903971.0,0.040343258785657234,0.05607712971206355
2005,"Sardine, Pacific",75585847.0,3105267.0,0.04108265135932128,0.05546157933508373
2006,"Sardine, Pacific",101189339.0,5043459.0,0.049841802010387674,0.06479434261350397
2007,"Sardine, Pacific",178334197.0,8199208.0,0.0459766446252594,0.05839033867407943
2008,"Sardine, Pacific",126156964.0,7484758.0,0.05932893248762708,0.07238129763490504
2009,"Sardine, Pacific",81927250.0,5421130.0,0.06617004720651554,0.08072745759194895
2010,"Sardine, Pacific",74010908.0,4296849.0,0.05805696911595788,0.06908779324798987
2011,"Sardine, Pacific",60800471.0,5351767.0,0.08802180167321401,0.10298550795766039
2012,"Sardine, Pacific",50531814.0,4288856.0,0.08487437241022062,0.0967567845476515
2013,"Sardine, Pacific",13154107.0,1277218.0,0.09709651898072594,0.10874810125841307
2014,"Sardine, Pacific",16705045.0,1954469.0,0.11699872703126511,0.12869859973439163
2015,"Sardine, Pacific",3575961.0,323431.0,0.09044589692113532,0.09949048661324887
2016,"Sardine, Pacific",367551.0,27070.0,0.07364964317876975,0.08027811106485903
2017,"Sardine, Pacific",666988.0,39042.0,0.05853478623303568,0.062046873407017825
2018,"Sardine, Pacific",542672.0,63906.0,0.1177617418993425,0.12247221157531622
2019,"Sardine, Pacific",3595952.0,204270.0,0.05680554134204239,0.05794165216888323
2020,"Sardine, Pacific",4899505.0,478953.0,0.0977553854930243,0.0977553854930243
